trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,baseline,0,40,0,1,5,S,7,5,8,8,10,0.0,0.0,1.1307779755043156e-05,0.9283651262521744
1,baseline,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,1.3441745243024063e-05,0.9238842313106244
2,baseline,0,40,0,5,3,S,8,7,4,8,13,0.0,0.0,7.382154007018471e-06,0.9313730508089065
3,baseline,0,40,0,7,5,W,7,1,3,5,16,0.0,0.0,9.669774104281715e-06,0.9269297972321511
4,baseline,1,13,0,5,3,W,1,6,1,6,7,0.5384615384615384,0.0,3.9645957407139155e-05,0.9248849795414851
5,baseline,0,40,0,4,8,E,5,2,3,7,9,0.0,0.0,7.528438140980143e-06,0.9200852006673813
6,baseline,0,40,0,2,1,W,8,4,7,1,9,0.0,0.0,1.1686028960866679e-05,0.9283199653029441
7,baseline,0,40,0,6,1,W,4,3,1,1,4,0.0,0.0,1.2512608509496204e-05,0.9291204541921616
8,baseline,0,40,0,5,5,E,4,7,3,3,3,0.0,0.0,1.8275803910228205e-05,0.9295623064041137
9,baseline,1,19,0,3,1,S,1,5,1,5,6,0.3157894736842105,0.0,9.233920536644291e-06,0.9242460696320784
10,baseline,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,1.4346232944717485e-05,0.9176818678776423
11,baseline,1,13,0,7,8,S,3,4,3,4,8,0.6153846153846154,0.0,9.29830760189641e-06,0.9043834943037766
12,baseline,0,40,0,1,8,S,7,5,1,3,13,0.0,0.0,8.781158635429165e-06,0.930687141418457
13,baseline,0,40,0,3,7,W,1,4,5,8,5,0.0,0.0,6.555042895683983e-06,0.9326276138424874
14,baseline,0,40,0,4,8,S,8,3,3,4,15,0.0,0.0,6.926541738039305e-06,0.9197878807783126
15,baseline,0,40,0,2,1,E,3,8,7,1,10,0.0,0.0,2.7969665734417503e-05,0.9304602518677711
16,baseline,0,40,0,5,2,S,1,2,5,8,6,0.0,0.05,4.9060000065992426e-05,0.9285325542092323
17,baseline,0,40,0,1,7,S,7,2,1,2,13,0.0,0.0,9.148161439043179e-06,0.9294588401913643
18,baseline,0,40,0,8,4,E,7,2,4,1,3,0.0,0.175,0.024579461915317326,0.9214972123503685
19,baseline,0,40,0,8,7,E,4,3,3,3,12,0.0,0.0,0.00018855434057627463,0.9236774370074272
20,baseline,0,40,0,8,3,N,3,8,6,1,14,0.0,0.0,8.949934522206603e-06,0.9256855875253678
21,baseline,0,40,0,5,1,N,7,6,1,2,15,0.0,0.0,3.9495256407917624e-05,0.9293835118412972
22,baseline,0,40,0,4,8,S,1,6,3,4,7,0.0,0.0,6.54192759839134e-06,0.9198775291442871
23,baseline,0,40,0,5,1,N,3,6,1,2,7,0.0,0.0,4.93110076490666e-05,0.9293795749545097
24,baseline,0,40,0,8,6,N,4,7,3,4,7,0.0,0.0,7.297394569150129e-06,0.9249175503849983
0,gauss_low,0,40,0,1,5,S,7,5,4,8,10,0.0,0.0,2.6521963263803627e-05,0.928858733177185
